lambda,fidelity
0.0,0.926875
0.041666666666666664,0.911875
0.08333333333333333,0.89375
0.125,0.8791772151898735
0.16666666666666666,0.8541875
0.20833333333333331,0.83425
0.25,0.81425
0.29166666666666663,0.7914375
0.3333333333333333,0.7643125
0.375,0.73975
0.41666666666666663,0.7008125
0.4583333333333333,0.682625
0.5,0.650375
0.5416666666666666,0.6255625
0.5833333333333333,0.5835625
0.625,0.557875
0.6666666666666666,0.5258125
0.7083333333333333,0.4931012658227848
0.75,0.4526875
0.7916666666666666,0.429375
0.8333333333333333,0.39925
0.875,0.3675625
0.9166666666666666,0.3275
0.9583333333333333,0.2935625
1.0,0.262875
