n,k,t,dd_mode,lambda,fidelity_experiment,fidelity_theory,delta,job_ids,n_batches
5,2,1,off,0.0,0.9412666666666668,1.0,-0.05873333333333319,"d82q9p7tjchs73bod9qg,d82qcfegbeec73am5490,d82qf6ugbeec73am57gg,d82qgi6gbeec73am59d0",4
5,2,1,off,0.1,0.9018,0.9805121406249999,-0.07871214062499987,"d82qr1ftjchs73bodt20,d82qs9noha1c73blu86g,d82qtj80bvlc73d2litg,d82qutnoha1c73blubd0",4
5,2,1,off,0.2,0.8658666666666668,0.9489059999999999,-0.08303933333333313,"d82r0g7oha1c73blud40,d82r1r80bvlc73d2lodg,d82r32ntjchs73boe6fg,d82r4ao0bvlc73d2lr5g",4
5,2,1,off,0.3,0.7937333333333333,0.9021586093750001,-0.10842527604166685,"d82r5mfoha1c73bluj90,d82r75foha1c73bluktg,d82r8dnoha1c73blumd0,d82r9o7oha1c73blunu0",4
5,2,1,off,0.4,0.7186666666666667,0.8392720000000001,-0.12060533333333345,"d82rb16gbeec73am68k0,d82rc9o0bvlc73d2m4mg,d82rdh00bvlc73d2m660,d82repnoha1c73blutq0",4
5,2,1,off,0.5,0.6461999999999999,0.760986328125,-0.11478632812500011,"d82rg2vtjchs73boelk0,d82rjh80bvlc73d2mdgg,d82rl3ntjchs73boerr0,d82rmbg0bvlc73d2mhe0",4
5,2,1,off,0.6,0.5770000000000001,0.669493,-0.09249299999999994,"d82rnjugbeec73am6otg,d82rot6gbeec73am6qg0,d82rq5ftjchs73bof290,d82s6bugbeec73am7d3g",4
5,2,1,off,0.7,0.5072,0.568147796875,-0.06094779687500007,"d82s7lnoha1c73blvung,d82s8tegbeec73am7go0,d82t43foha1c73bm126g,d82t6g80bvlc73d2of40",4
5,2,1,off,0.8,0.4128,0.46118400000000004,-0.04838400000000004,"d82ttafoha1c73bm1tag,d82tul80bvlc73d2p95g",4
5,2,1,off,0.9,0.3341333333333333,0.3534255156249999,-0.019292182291666626,"d82utt6gbeec73amak30,d82v3nmgbeec73amat60,d82v6fugbeec73amb110,d82v8hg0bvlc73d2qs9g",4
5,2,1,on,0.0,0.9123333333333332,1.0,-0.08766666666666678,"d82vano0bvlc73d2qurg,d82vdnftjchs73boj8j0,d82vg9mgbeec73ambci0,d82vismgbeec73ambfig",4
5,2,1,on,0.1,0.8920000000000001,0.9805121406249999,-0.08851214062499979,"d82vleegbeec73ambijg,d82vo0foha1c73bm43ag,d82vq3voha1c73bm45h0,d82vsbugbeec73ambq4g",4
5,2,1,on,0.2,0.8506666666666667,0.9489059999999999,-0.09823933333333323,"d82vui7tjchs73bojqpg,d8300iugbeec73ambufg,d8302jnoha1c73bm4ea0,d8304jmgbeec73amc2gg",4
5,2,1,on,0.3,0.7948,0.9021586093750001,-0.10735860937500019,"d8306mmgbeec73amc50g,d8308mntjchs73bok5ag,d830anfoha1c73bm4nsg,d830cu6gbeec73amcd20",4
5,2,1,on,0.4,0.7266666666666667,0.8392720000000001,-0.11260533333333345,"d830f3mgbeec73amcfug,d830hbo0bvlc73d2s9qg,d830je6gbeec73amcl00,d830lmo0bvlc73d2sep0",4
5,2,1,on,0.5,0.6398666666666667,0.760986328125,-0.1211196614583333,"d830nsg0bvlc73d2sh0g,d830q4voha1c73bm59dg,d830s7noha1c73bm5bgg,d830ubmgbeec73amd170",4
5,2,1,on,0.6,0.5898666666666667,0.669493,-0.07962633333333335,"d8310ig0bvlc73d2sq6g,d8312ontjchs73bol1pg,d83153voha1c73bm5kk0,d83179ftjchs73bol6ig",4
5,2,1,on,0.7,0.5019333333333333,0.568147796875,-0.06621446354166671,"d8319hugbeec73amddog,d831bn6gbeec73amdg2g,d831dqnoha1c73bm5u5g,d831g1foha1c73bm60v0",4
5,2,1,on,0.8,0.421,0.46118400000000004,-0.04018400000000005,"d831i5o0bvlc73d2tea0,d831k9vtjchs73bollo0,d831mgfoha1c73bm69ug,d831omfoha1c73bm6cog",4
5,2,1,on,0.9,0.3315333333333333,0.3534255156249999,-0.021892182291666618,"d831qpftjchs73boltig,d831srugbeec73ame6cg,d831utegbeec73ame8n0,d83218g0bvlc73d2u010",4
