lambda,fidelity,job_ids,n_batches
0.0,0.9541999999999999,"d82k657oha1c73blm9t0,d82k85egbeec73althng",2
0.1,0.8965333333333334,"d82k9amgbeec73altivg,d82kagugbeec73altkbg",2
0.2,0.834,"d82kbmftjchs73bo6c30,d82kcr7oha1c73blmh10",2
0.3,0.7765333333333333,"d82ke1g0bvlc73d2dqrg,d82kf6ugbeec73altp7g",2
0.4,0.7126666666666668,"d82kggntjchs73bo6h1g,d82khmmgbeec73altsb0",2
0.5,0.6545333333333334,"d82kis6gbeec73alttkg,d82kk180bvlc73d2e1kg",2
0.6,0.5658,"d82kl7foha1c73blmqh0,d82kmco0bvlc73d2e4gg",2
0.7,0.49873333333333336,"d82knj6gbeec73alu3eg,d82kopmgbeec73alu4rg",2
0.8,0.40226666666666666,"d82kq1vtjchs73bo6s80,d82kr7ntjchs73bo6tig",2
0.9,0.33753333333333335,"d82m1h7oha1c73blojkg,d82n58foha1c73blq6c0",2
