lambda,fidelity,job_ids,n_batches
0.0,0.9123333333333333,"d82vano0bvlc73d2qurg,d82vdnftjchs73boj8j0,d82vg9mgbeec73ambci0,d82vismgbeec73ambfig",4
0.1,0.8920000000000001,"d82vleegbeec73ambijg,d82vo0foha1c73bm43ag,d82vq3voha1c73bm45h0,d82vsbugbeec73ambq4g",4
0.2,0.8506666666666667,"d82vui7tjchs73bojqpg,d8300iugbeec73ambufg,d8302jnoha1c73bm4ea0,d8304jmgbeec73amc2gg",4
0.3,0.7948,"d8306mmgbeec73amc50g,d8308mntjchs73bok5ag,d830anfoha1c73bm4nsg,d830cu6gbeec73amcd20",4
0.4,0.7266666666666667,"d830f3mgbeec73amcfug,d830hbo0bvlc73d2s9qg,d830je6gbeec73amcl00,d830lmo0bvlc73d2sep0",4
0.5,0.6398666666666667,"d830nsg0bvlc73d2sh0g,d830q4voha1c73bm59dg,d830s7noha1c73bm5bgg,d830ubmgbeec73amd170",4
0.6,0.5898666666666667,"d8310ig0bvlc73d2sq6g,d8312ontjchs73bol1pg,d83153voha1c73bm5kk0,d83179ftjchs73bol6ig",4
0.7,0.5019333333333333,"d8319hugbeec73amddog,d831bn6gbeec73amdg2g,d831dqnoha1c73bm5u5g,d831g1foha1c73bm60v0",4
0.8,0.42100000000000004,"d831i5o0bvlc73d2tea0,d831k9vtjchs73bollo0,d831mgfoha1c73bm69ug,d831omfoha1c73bm6cog",4
0.9,0.3315333333333333,"d831qpftjchs73boltig,d831srugbeec73ame6cg,d831utegbeec73ame8n0,d83218g0bvlc73d2u010",4
