job_id,n,k,t,lambda,dd_mode,batch_idx,n_batches,status,qpu_seconds,executions,created,running,finished,queue_seconds,run_seconds,total_seconds
d82q9p7tjchs73bod9qg,5,2,1,0.0,off,0,4,DONE,7.0,,2026-05-14 10:33:09.346786+00:00,2026-05-14 10:33:18.782469+00:00,2026-05-14 10:38:38.676389+00:00,9.435683,319.89392,329.32960299999996
d82qcfegbeec73am5490,5,2,1,0.0,off,1,4,DONE,7.0,,2026-05-14 10:38:53.784584+00:00,2026-05-14 10:39:09.034635+00:00,2026-05-14 10:44:29.223040+00:00,15.250051,320.188405,335.438456
d82qf6ugbeec73am57gg,5,2,1,0.0,off,2,4,DONE,6.0,,2026-05-14 10:44:44.183568+00:00,2026-05-14 10:44:58.702884+00:00,2026-05-14 10:47:20.520017+00:00,14.519316,141.817133,156.33644900000002
d82qgi6gbeec73am59d0,5,2,1,0.0,off,3,4,DONE,6.0,,2026-05-14 10:47:37.497031+00:00,2026-05-14 11:04:37.790990+00:00,2026-05-14 11:09:40.763711+00:00,1020.293959,302.972721,1323.26668
d82qr1ftjchs73bodt20,5,2,1,0.1,off,0,4,DONE,7.0,,2026-05-14 11:09:58.081577+00:00,2026-05-14 11:10:05.326403+00:00,2026-05-14 11:12:24.171567+00:00,7.244826,138.845164,146.08999
d82qs9noha1c73blu86g,5,2,1,0.1,off,1,4,DONE,6.0,,2026-05-14 11:12:39.226237+00:00,2026-05-14 11:12:48.886480+00:00,2026-05-14 11:15:09.704443+00:00,9.660243,140.817963,150.478206
d82qtj80bvlc73d2litg,5,2,1,0.1,off,2,4,DONE,6.0,,2026-05-14 11:15:25.457811+00:00,2026-05-14 11:15:31.017503+00:00,2026-05-14 11:18:00.134275+00:00,5.559692,149.116772,154.676464
d82qutnoha1c73blubd0,5,2,1,0.1,off,3,4,DONE,6.0,,2026-05-14 11:18:15.449199+00:00,2026-05-14 11:18:31.581841+00:00,2026-05-14 11:21:20.361226+00:00,16.132642,168.779385,184.912027
d82r0g7oha1c73blud40,5,2,1,0.2,off,0,4,DONE,6.0,,2026-05-14 11:21:37.320924+00:00,2026-05-14 11:21:48.832267+00:00,2026-05-14 11:24:15.217574+00:00,11.511343,146.385307,157.89665000000002
d82r1r80bvlc73d2lodg,5,2,1,0.2,off,1,4,DONE,7.0,,2026-05-14 11:24:30.199659+00:00,2026-05-14 11:24:31.335729+00:00,2026-05-14 11:26:51.853724+00:00,1.13607,140.517995,141.654065
d82r32ntjchs73boe6fg,5,2,1,0.2,off,2,4,DONE,7.0,,2026-05-14 11:27:07.551111+00:00,2026-05-14 11:27:08.921926+00:00,2026-05-14 11:29:31.424973+00:00,1.370815,142.503047,143.873862
d82r4ao0bvlc73d2lr5g,5,2,1,0.2,off,3,4,DONE,6.0,,2026-05-14 11:29:47.620945+00:00,2026-05-14 11:29:48.482020+00:00,2026-05-14 11:32:24.408430+00:00,0.861075,155.92641,156.787485
d82r5mfoha1c73bluj90,5,2,1,0.3,off,0,4,DONE,7.0,,2026-05-14 11:32:41.790745+00:00,2026-05-14 11:32:59.043436+00:00,2026-05-14 11:35:34.839661+00:00,17.252691,155.796225,173.048916
d82r75foha1c73bluktg,5,2,1,0.3,off,1,4,DONE,6.0,,2026-05-14 11:35:50.098228+00:00,2026-05-14 11:35:56.960415+00:00,2026-05-14 11:38:15.801957+00:00,6.8621870000000005,138.841542,145.703729
d82r8dnoha1c73blumd0,5,2,1,0.3,off,2,4,DONE,6.0,,2026-05-14 11:38:40.505287+00:00,2026-05-14 11:38:41.742329+00:00,2026-05-14 11:41:05.046876+00:00,1.237042,143.304547,144.54158900000002
d82r9o7oha1c73blunu0,5,2,1,0.3,off,3,4,DONE,6.0,,2026-05-14 11:41:21.413634+00:00,2026-05-14 11:41:27.004698+00:00,2026-05-14 11:43:48.536551+00:00,5.591064,141.531853,147.122917
d82rb16gbeec73am68k0,5,2,1,0.4,off,0,4,DONE,6.0,,2026-05-14 11:44:05.573681+00:00,2026-05-14 11:44:06.669296+00:00,2026-05-14 11:46:32.571567+00:00,1.095615,145.902271,146.99788600000002
d82rc9o0bvlc73d2m4mg,5,2,1,0.4,off,1,4,DONE,6.0,,2026-05-14 11:46:48.085688+00:00,2026-05-14 11:46:49.592976+00:00,2026-05-14 11:49:09.733383+00:00,1.507288,140.140407,141.647695
d82rdh00bvlc73d2m660,5,2,1,0.4,off,2,4,DONE,6.0,,2026-05-14 11:49:24.896215+00:00,2026-05-14 11:49:30.177024+00:00,2026-05-14 11:51:51.544159+00:00,5.280809,141.367135,146.647944
