lambda,fidelity,job_ids,n_batches
0.0,0.9127333333333334,"d873a8dg7okc73elqjlg,d873brh789is7390cio0",2
0.1,0.8789333333333333,"d873dlgp0eas73dlm28g,d873gnis46sc73f7mdn0",2
0.2,0.8384,"d873ib1789is7390csc0,d873kh8p0eas73dlmc8g",2
0.3,0.7757333333333334,"d873m5h789is7390d2a0,d873nsis46sc73f7mnog",2
0.4,0.7001999999999999,"d873ph1789is7390d6cg,d873rtp789is7390d92g",2
0.5,0.6466666666666666,"d873tk9789is7390datg,d873vblg7okc73elrdqg",2
0.6,0.5539333333333334,"d8743p5g7okc73elri5g,d8745dis46sc73f7n6e0",2
0.7,0.47606666666666664,"d875fvop0eas73dloe50,d876oa2s46sc73f7q34g",2
0.8,0.40026666666666666,"d876pulg7okc73elue30,d876rigp0eas73dlptmg",2
0.9,0.3214666666666667,"d876tk1789is7390gmtg,d8773eqs46sc73f7qf9g",2
