lambda,fidelity,job_ids,n_batches
0.0,0.9142,"d87038lg7okc73eln4p0,d8704alg7okc73eln5q0",2
0.1,0.877,"d8705b9789is73908v8g,d8706cop0eas73dlifig",2
0.2,0.8505333333333334,d870cq1789is73909860,2
0.3,0.7806666666666666,"d870dq1789is73909980,d870eqp789is73909af0",2
0.4,0.7038,"d870ft5g7okc73elnjb0,d870guas46sc73f7j1i0",2
0.5,0.0,d870ljas46sc73f7j6c0,2
0.6,0.5524,"d8712kp789is7390a1i0,d8718o0p0eas73dljmhg",2
0.7,0.499,"d8719qis46sc73f7jspg,d871argp0eas73dljoug",2
0.8,0.4072,"d871bt9789is7390ablg,d871jnp789is7390akd0",2
0.9,0.3193333333333333,"d871oidg7okc73elovr0,d871pq1789is7390arjg",2
