backend,n,k,t,n_seeds,opt_level,no_reset,best_seed,best_2q_depth,best_2q_gates,avg_2q_depth,avg_2q_gates,all_2q_gates,pre_circuit_png,best_circuit_png
ibm_boston,3,2,3,100,3,True,12,46,78,49.82,79.85,"[82, 78, 78, 81, 78, 82, 84, 81, 78, 78, 82, 78, 78, 78, 78, 78, 85, 78, 78, 82, 78, 82, 81, 78, 78, 78, 78, 78, 78, 78, 78, 78, 84, 78, 84, 79, 78, 84, 79, 78, 78, 78, 78, 78, 78, 82, 78, 81, 81, 78, 81, 81, 84, 84, 78, 81, 77, 81, 78, 78, 78, 78, 81, 78, 78, 75, 78, 78, 84, 78, 84, 81, 84, 84, 79, 78, 78, 79, 79, 84, 84, 78, 84, 78, 78, 77, 82, 84, 78, 78, 81, 78, 78, 78, 85, 78, 85, 84, 84, 82]",scaling_results/T3/circuit_N3_pre.png,scaling_results/T3/circuit_N3_best_ibm_boston.png
ibm_boston,5,2,3,100,3,True,35,50,164,73.47,184.16,"[188, 187, 205, 177, 188, 172, 179, 180, 185, 195, 186, 182, 181, 183, 188, 181, 166, 181, 180, 196, 198, 186, 188, 177, 194, 191, 182, 173, 191, 187, 176, 187, 185, 187, 186, 164, 181, 190, 183, 195, 188, 189, 201, 189, 190, 190, 194, 183, 198, 193, 190, 186, 171, 188, 181, 194, 183, 187, 180, 178, 172, 180, 168, 179, 186, 178, 179, 187, 182, 199, 191, 180, 193, 167, 178, 193, 177, 167, 179, 181, 180, 165, 192, 181, 178, 172, 178, 183, 187, 180, 190, 181, 205, 180, 195, 183, 180, 195, 180, 181]",scaling_results/T3/circuit_N5_pre.png,scaling_results/T3/circuit_N5_best_ibm_boston.png
ibm_boston,7,2,3,100,3,True,98,73,297,100.12,308.31,"[312, 300, 318, 321, 307, 302, 309, 311, 306, 283, 286, 325, 306, 293, 311, 316, 301, 309, 320, 308, 300, 311, 301, 294, 308, 305, 301, 302, 319, 305, 326, 306, 320, 302, 299, 298, 295, 325, 315, 310, 304, 319, 314, 338, 310, 308, 304, 284, 306, 317, 310, 322, 305, 316, 300, 299, 306, 301, 299, 313, 287, 305, 305, 317, 313, 289, 317, 305, 321, 317, 314, 310, 305, 318, 316, 313, 312, 305, 296, 315, 314, 309, 316, 309, 322, 319, 312, 299, 311, 294, 311, 315, 295, 320, 299, 306, 314, 312, 297, 316]",scaling_results/T3/circuit_N7_pre.png,scaling_results/T3/circuit_N7_best_ibm_boston.png
ibm_boston,9,2,3,100,3,True,94,86,399,114.53,422.15,"[403, 414, 441, 437, 418, 444, 436, 436, 427, 417, 403, 449, 428, 400, 389, 434, 423, 416, 401, 416, 430, 443, 425, 407, 419, 414, 423, 415, 421, 443, 404, 410, 433, 435, 435, 425, 398, 442, 426, 425, 425, 437, 404, 401, 431, 438, 399, 417, 422, 420, 424, 428, 435, 417, 421, 429, 409, 432, 403, 427, 432, 403, 448, 427, 419, 405, 408, 434, 396, 440, 432, 414, 440, 441, 428, 432, 431, 443, 423, 409, 405, 393, 408, 389, 422, 447, 441, 443, 412, 436, 417, 431, 427, 408, 399, 417, 443, 431, 402, 415]",scaling_results/T3/circuit_N9_pre.png,scaling_results/T3/circuit_N9_best_ibm_boston.png
ibm_boston,11,2,3,100,3,True,42,84,495,123.87,534.5,"[534, 536, 525, 535, 537, 538, 565, 518, 552, 500, 548, 539, 550, 524, 537, 541, 517, 519, 532, 543, 524, 567, 557, 559, 563, 511, 538, 529, 522, 544, 515, 494, 538, 541, 550, 541, 550, 528, 549, 547, 531, 507, 495, 544, 536, 560, 525, 580, 514, 523, 527, 529, 558, 520, 552, 530, 563, 519, 507, 527, 522, 561, 538, 534, 567, 526, 553, 554, 535, 538, 508, 520, 509, 530, 517, 523, 543, 495, 579, 538, 549, 516, 533, 526, 541, 539, 504, 538, 544, 495, 541, 528, 547, 527, 540, 563, 543, 527, 537, 518]",scaling_results/T3/circuit_N11_pre.png,scaling_results/T3/circuit_N11_best_ibm_boston.png
ibm_miami,3,2,3,100,3,True,1,38,63,44.39,65.5,"[61, 63, 67, 66, 69, 63, 63, 69, 69, 63, 69, 63, 66, 69, 63, 67, 69, 64, 63, 61, 64, 67, 66, 67, 69, 63, 63, 69, 64, 63, 69, 66, 69, 63, 61, 63, 63, 69, 63, 61, 64, 66, 69, 61, 63, 69, 67, 69, 69, 67, 69, 63, 63, 66, 69, 63, 69, 69, 67, 69, 63, 64, 64, 69, 64, 63, 69, 61, 69, 69, 64, 63, 66, 63, 63, 63, 69, 67, 69, 65, 69, 61, 61, 63, 61, 64, 64, 66, 63, 69, 61, 69, 69, 64, 69, 63, 69, 64, 67, 67]",scaling_results/T3/circuit_N3_pre.png,scaling_results/T3/circuit_N3_best_ibm_miami.png
ibm_miami,5,2,3,100,3,True,8,48,140,66.45,149.66,"[150, 154, 149, 154, 136, 154, 149, 153, 140, 143, 146, 147, 148, 155, 151, 153, 147, 151, 154, 136, 153, 151, 162, 151, 151, 150, 156, 147, 153, 147, 153, 153, 147, 149, 148, 146, 151, 146, 146, 149, 153, 153, 154, 152, 150, 158, 146, 149, 149, 153, 146, 141, 154, 147, 143, 148, 145, 147, 146, 150, 147, 151, 144, 148, 148, 147, 151, 147, 155, 151, 154, 145, 148, 146, 151, 158, 148, 152, 151, 148, 150, 157, 147, 153, 148, 146, 144, 157, 153, 157, 157, 151, 149, 150, 149, 151, 150, 147, 151, 146]",scaling_results/T3/circuit_N5_pre.png,scaling_results/T3/circuit_N5_best_ibm_miami.png
ibm_miami,7,2,3,100,3,True,39,58,232,78.69,237.63,"[237, 235, 229, 234, 236, 230, 230, 253, 232, 244, 233, 238, 222, 245, 233, 252, 237, 232, 241, 237, 243, 237, 234, 247, 242, 230, 241, 230, 240, 233, 236, 244, 227, 237, 237, 236, 235, 243, 253, 232, 242, 242, 223, 238, 245, 221, 231, 239, 232, 242, 240, 238, 241, 234, 235, 234, 236, 234, 241, 246, 234, 242, 225, 243, 235, 233, 243, 240, 239, 241, 237, 241, 240, 237, 238, 236, 233, 228, 238, 242, 251, 241, 250, 228, 237, 243, 233, 242, 238, 240, 242, 235, 242, 233, 230, 236, 234, 241, 256, 245]",scaling_results/T3/circuit_N7_pre.png,scaling_results/T3/circuit_N7_best_ibm_miami.png
ibm_miami,9,2,3,100,3,True,39,60,311,85.21,321.93,"[335, 316, 316, 312, 319, 326, 335, 311, 334, 330, 332, 311, 318, 314, 331, 325, 325, 333, 321, 325, 315, 327, 319, 317, 345, 329, 313, 328, 321, 326, 319, 327, 332, 332, 317, 322, 316, 312, 332, 311, 311, 309, 314, 329, 335, 326, 324, 316, 324, 317, 333, 310, 318, 310, 334, 319, 329, 323, 324, 314, 339, 320, 322, 324, 287, 333, 314, 330, 324, 311, 336, 325, 309, 328, 305, 325, 334, 317, 329, 323, 302, 316, 304, 331, 319, 317, 318, 320, 343, 323, 316, 331, 322, 319, 327, 309, 323, 324, 324, 322]",scaling_results/T3/circuit_N9_pre.png,scaling_results/T3/circuit_N9_best_ibm_miami.png
ibm_miami,11,2,3,100,3,True,78,64,393,85.79,403.94,"[406, 412, 402, 393, 404, 405, 406, 407, 395, 396, 423, 399, 404, 405, 405, 418, 386, 389, 413, 400, 398, 395, 394, 395, 405, 405, 400, 402, 415, 416, 388, 402, 421, 404, 424, 409, 396, 402, 410, 411, 409, 408, 401, 419, 405, 390, 400, 407, 399, 403, 415, 411, 390, 394, 408, 396, 391, 416, 391, 409, 413, 406, 406, 425, 407, 407, 384, 401, 418, 414, 389, 399, 394, 401, 418, 415, 406, 393, 393, 395, 394, 409, 403, 400, 395, 429, 414, 405, 408, 399, 385, 401, 388, 404, 403, 411, 391, 424, 408, 417]",scaling_results/T3/circuit_N11_pre.png,scaling_results/T3/circuit_N11_best_ibm_miami.png
ibm_boston,13,2,3,100,3,True,96,85,649,134.2,650.98,"[606, 619, 667, 640, 660, 650, 643, 650, 628, 695, 647, 648, 641, 653, 650, 626, 655, 658, 640, 612, 620, 610, 647, 671, 625, 659, 654, 612, 674, 629, 650, 591, 636, 654, 644, 673, 665, 647, 635, 641, 644, 639, 699, 653, 631, 665, 639, 677, 673, 629, 647, 672, 663, 640, 675, 663, 645, 647, 644, 651, 616, 670, 641, 688, 694, 648, 680, 611, 639, 674, 671, 689, 642, 643, 674, 614, 698, 675, 677, 640, 641, 670, 641, 649, 661, 651, 635, 674, 645, 643, 679, 632, 690, 638, 673, 644, 649, 650, 669, 659]",scaling_results/T3/circuit_N13_pre.png,scaling_results/T3/circuit_N13_best_ibm_boston.png
ibm_boston,15,2,3,100,3,True,89,99,713,140.38,766.49,"[724, 780, 807, 776, 759, 764, 749, 776, 794, 736, 780, 739, 756, 782, 753, 761, 757, 753, 744, 771, 747, 772, 775, 728, 739, 770, 729, 725, 783, 770, 802, 738, 766, 782, 705, 812, 780, 766, 768, 782, 784, 761, 785, 783, 753, 756, 760, 781, 746, 751, 827, 769, 753, 756, 697, 792, 793, 748, 784, 782, 770, 771, 780, 797, 789, 795, 773, 758, 772, 753, 780, 733, 778, 753, 819, 766, 755, 827, 793, 759, 795, 760, 782, 758, 801, 780, 733, 740, 770, 713, 762, 761, 806, 765, 807, 770, 757, 713, 746, 748]",scaling_results/T3/circuit_N15_pre.png,scaling_results/T3/circuit_N15_best_ibm_boston.png
ibm_boston,17,2,3,100,3,True,83,102,861,141.84,890.8,"[941, 917, 895, 908, 826, 884, 946, 932, 921, 880, 867, 871, 880, 888, 895, 904, 858, 908, 880, 952, 870, 932, 875, 885, 886, 838, 880, 863, 859, 900, 896, 932, 862, 903, 917, 862, 889, 916, 914, 874, 848, 905, 903, 879, 870, 906, 883, 853, 894, 919, 854, 856, 832, 918, 920, 910, 930, 893, 898, 878, 911, 918, 920, 925, 902, 893, 896, 915, 942, 891, 839, 889, 899, 893, 900, 871, 904, 920, 905, 876, 859, 886, 854, 861, 875, 907, 865, 914, 887, 867, 923, 917, 849, 882, 854, 886, 854, 871, 931, 874]",scaling_results/T3/circuit_N17_pre.png,scaling_results/T3/circuit_N17_best_ibm_boston.png
ibm_boston,19,2,3,100,3,True,61,107,961,142.11,1022.23,"[1045, 1007, 1060, 1039, 1021, 998, 1029, 1002, 1027, 1018, 1028, 1050, 995, 1070, 1061, 1045, 1015, 995, 1026, 980, 1025, 1033, 1010, 1002, 1024, 1062, 1039, 1045, 1082, 1036, 1007, 1050, 1033, 1010, 1038, 1024, 1041, 1039, 1004, 951, 1042, 1036, 1014, 978, 1004, 1036, 1029, 986, 996, 1000, 978, 974, 1024, 1043, 1028, 1094, 1064, 973, 1018, 1078, 1014, 961, 1049, 1031, 1034, 1058, 1086, 1058, 958, 1017, 958, 1074, 1049, 1002, 1011, 985, 987, 1030, 1055, 1034, 1039, 1035, 1001, 995, 965, 1023, 970, 969, 1043, 1008, 986, 1037, 1045, 1056, 1073, 976, 1047, 1023, 981, 1039]",scaling_results/T3/circuit_N19_pre.png,scaling_results/T3/circuit_N19_best_ibm_boston.png
ibm_boston,21,2,3,100,3,True,62,97,1132,144.11,1146.7,"[1183, 1077, 1167, 1104, 1144, 1174, 1118, 1136, 1140, 1126, 1127, 1175, 1144, 1187, 1164, 1037, 1163, 1197, 1141, 1164, 1158, 1096, 1144, 1162, 1132, 1142, 1154, 1193, 1196, 1166, 1155, 1164, 1088, 1119, 1059, 1111, 1185, 1095, 1108, 1116, 1159, 1145, 1171, 1108, 1081, 1135, 1151, 1129, 1144, 1181, 1183, 1147, 1192, 1194, 1217, 1086, 1141, 1096, 1135, 1171, 1110, 1170, 1132, 1152, 1125, 1101, 1147, 1118, 1208, 1159, 1143, 1090, 1193, 1131, 1083, 1125, 1142, 1130, 1169, 1174, 1198, 1205, 1156, 1181, 1124, 1171, 1108, 1205, 1162, 1127, 1111, 1101, 1191, 1146, 1147, 1243, 1121, 1227, 1182, 1185]",scaling_results/T3/circuit_N21_pre.png,scaling_results/T3/circuit_N21_best_ibm_boston.png
ibm_boston,23,2,3,100,3,True,17,101,1191,149.28,1279.72,"[1298, 1302, 1272, 1308, 1288, 1289, 1307, 1244, 1257, 1289, 1297, 1304, 1346, 1252, 1315, 1286, 1213, 1191, 1303, 1238, 1316, 1271, 1270, 1265, 1337, 1249, 1265, 1330, 1228, 1276, 1255, 1280, 1264, 1328, 1220, 1288, 1268, 1203, 1309, 1323, 1266, 1299, 1292, 1308, 1251, 1308, 1353, 1326, 1261, 1242, 1287, 1251, 1341, 1304, 1218, 1298, 1292, 1367, 1265, 1279, 1319, 1270, 1391, 1260, 1219, 1259, 1177, 1232, 1227, 1258, 1221, 1188, 1349, 1264, 1381, 1298, 1232, 1363, 1247, 1245, 1302, 1284, 1281, 1308, 1245, 1292, 1182, 1258, 1296, 1355, 1257, 1280, 1341, 1257, 1221, 1214, 1306, 1326, 1284, 1331]",scaling_results/T3/circuit_N23_pre.png,scaling_results/T3/circuit_N23_best_ibm_boston.png
ibm_miami,13,2,3,100,3,True,24,67,480,91.44,492.4,"[489, 475, 498, 497, 495, 475, 505, 482, 499, 492, 498, 485, 500, 490, 506, 489, 502, 505, 472, 502, 487, 491, 494, 502, 480, 499, 491, 484, 494, 491, 506, 471, 485, 485, 496, 504, 496, 473, 509, 490, 460, 495, 486, 485, 494, 481, 499, 503, 499, 491, 503, 492, 503, 482, 490, 496, 497, 469, 490, 488, 496, 485, 485, 482, 489, 512, 486, 507, 503, 483, 469, 503, 498, 481, 474, 499, 488, 494, 498, 505, 491, 505, 485, 528, 477, 493, 495, 497, 509, 506, 498, 486, 484, 498, 491, 495, 489, 502, 489, 498]",scaling_results/T3/circuit_N13_pre.png,scaling_results/T3/circuit_N13_best_ibm_miami.png
ibm_miami,15,2,3,100,3,True,6,70,566,98.3,583.95,"[575, 591, 602, 584, 562, 612, 566, 592, 561, 560, 605, 562, 562, 584, 590, 590, 558, 581, 589, 591, 568, 599, 621, 593, 589, 589, 583, 561, 565, 571, 585, 591, 585, 582, 563, 551, 586, 598, 567, 586, 561, 572, 587, 589, 582, 575, 589, 604, 599, 563, 584, 603, 598, 606, 547, 589, 592, 587, 545, 591, 559, 612, 608, 571, 595, 591, 585, 585, 586, 573, 578, 561, 589, 570, 587, 600, 591, 582, 584, 607, 597, 570, 602, 586, 583, 592, 594, 566, 601, 589, 591, 593, 595, 578, 575, 598, 585, 593, 590, 590]",scaling_results/T3/circuit_N15_pre.png,scaling_results/T3/circuit_N15_best_ibm_miami.png
ibm_miami,17,2,3,100,3,True,91,71,636,102.96,674.17,"[654, 653, 694, 659, 690, 680, 672, 691, 687, 663, 683, 691, 666, 713, 658, 671, 655, 665, 701, 640, 684, 674, 684, 671, 693, 654, 688, 699, 655, 687, 673, 693, 666, 690, 636, 676, 704, 673, 679, 704, 644, 676, 666, 676, 660, 669, 677, 687, 664, 650, 701, 650, 664, 695, 689, 662, 679, 669, 658, 670, 640, 632, 687, 692, 674, 667, 699, 668, 675, 681, 704, 683, 679, 664, 639, 696, 664, 676, 659, 691, 686, 688, 659, 679, 671, 649, 695, 684, 684, 687, 686, 636, 635, 665, 678, 675, 671, 691, 680, 673]",scaling_results/T3/circuit_N17_pre.png,scaling_results/T3/circuit_N17_best_ibm_miami.png
ibm_miami,19,2,3,100,3,True,29,77,753,111.57,779.06,"[787, 781, 798, 759, 788, 761, 787, 772, 774, 754, 799, 774, 785, 783, 760, 755, 780, 799, 775, 777, 789, 767, 774, 772, 737, 770, 807, 786, 778, 753, 769, 769, 792, 798, 800, 778, 778, 793, 785, 802, 766, 787, 787, 823, 793, 766, 800, 764, 789, 739, 763, 781, 786, 786, 743, 778, 800, 821, 748, 789, 766, 799, 778, 737, 770, 791, 814, 803, 796, 769, 741, 777, 751, 767, 771, 771, 802, 795, 794, 798, 786, 799, 790, 807, 749, 830, 769, 763, 786, 759, 794, 758, 777, 779, 767, 771, 769, 781, 751, 777]",scaling_results/T3/circuit_N19_pre.png,scaling_results/T3/circuit_N19_best_ibm_miami.png
ibm_miami,21,2,3,100,3,True,37,79,864,115.28,877.17,"[859, 844, 885, 888, 873, 879, 876, 890, 866, 895, 849, 859, 866, 867, 866, 878, 866, 906, 857, 896, 917, 844, 888, 883, 871, 857, 886, 871, 887, 895, 884, 877, 870, 892, 905, 872, 878, 864, 887, 910, 869, 872, 887, 872, 871, 896, 887, 903, 877, 870, 860, 896, 870, 868, 897, 853, 892, 869, 857, 861, 875, 924, 884, 883, 858, 906, 862, 897, 869, 861, 858, 855, 890, 897, 872, 850, 882, 884, 851, 885, 862, 855, 860, 887, 876, 846, 901, 853, 862, 886, 873, 906, 877, 875, 900, 894, 896, 888, 897, 850]",scaling_results/T3/circuit_N21_pre.png,scaling_results/T3/circuit_N21_best_ibm_miami.png
ibm_miami,23,2,3,100,3,True,29,81,949,118.94,985.69,"[1010, 973, 1013, 1022, 1001, 1000, 1003, 1002, 998, 985, 977, 1020, 970, 958, 992, 948, 991, 988, 967, 977, 947, 954, 972, 961, 980, 970, 1012, 992, 1020, 949, 959, 1006, 1009, 983, 1012, 959, 975, 1005, 1012, 974, 944, 960, 993, 996, 1003, 985, 957, 1017, 960, 959, 1003, 974, 1006, 975, 1008, 954, 996, 993, 971, 944, 1029, 971, 974, 993, 993, 978, 1019, 990, 1012, 964, 972, 963, 1050, 964, 975, 1005, 1025, 1030, 999, 968, 961, 963, 974, 947, 970, 997, 1012, 981, 961, 974, 967, 1006, 975, 1026, 980, 1022, 976, 999, 970, 990]",scaling_results/T3/circuit_N23_pre.png,scaling_results/T3/circuit_N23_best_ibm_miami.png
