backend,n,k,t,n_seeds,opt_level,no_reset,best_seed,best_2q_depth,best_2q_gates,avg_2q_depth,avg_2q_gates,all_2q_gates,pre_circuit_png,best_circuit_png
ibm_boston,3,2,1,100,3,True,0,18,20,18.0,20.0,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",scaling_results/T1/circuit_N3_pre.png,scaling_results/T1/circuit_N3_best_ibm_boston.png
ibm_boston,5,2,1,100,3,True,0,18,40,18.0,40.0,"[40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]",scaling_results/T1/circuit_N5_pre.png,scaling_results/T1/circuit_N5_best_ibm_boston.png
ibm_boston,7,2,1,100,3,True,0,18,60,18.0,60.0,"[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60]",scaling_results/T1/circuit_N7_pre.png,scaling_results/T1/circuit_N7_best_ibm_boston.png
ibm_boston,9,2,1,100,3,True,0,18,80,18.99,80.42,"[80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 83, 80, 80, 80, 83, 80, 80, 80, 83, 80, 80, 80, 83, 80, 80, 80, 80, 83, 80, 80, 83, 80, 80, 80, 80, 83, 80, 80, 80, 80, 80, 80, 80, 80, 80, 83, 83, 80, 83, 80, 80, 80, 80, 80, 80, 80, 80, 83, 80, 80, 80, 80, 80, 80, 83, 80, 80, 80, 80, 83, 80, 80, 80, 83, 80, 80, 80]",scaling_results/T1/circuit_N9_pre.png,scaling_results/T1/circuit_N9_best_ibm_boston.png
ibm_boston,11,2,1,100,3,True,17,18,100,28.03,103.68,"[103, 103, 106, 103, 106, 103, 106, 104, 106, 106, 107, 104, 103, 103, 103, 103, 103, 100, 103, 103, 103, 103, 103, 103, 104, 107, 103, 106, 103, 104, 103, 109, 103, 106, 104, 103, 103, 100, 103, 100, 103, 104, 104, 103, 106, 104, 103, 107, 104, 103, 106, 103, 103, 103, 101, 103, 107, 104, 106, 104, 103, 103, 104, 103, 103, 103, 104, 104, 103, 103, 106, 103, 101, 104, 107, 103, 106, 103, 103, 103, 103, 104, 100, 104, 100, 103, 103, 100, 103, 103, 103, 103, 103, 103, 104, 103, 103, 106, 106, 107]",scaling_results/T1/circuit_N11_pre.png,scaling_results/T1/circuit_N11_best_ibm_boston.png
ibm_boston,13,2,1,100,3,True,32,22,123,24.33,129.39,"[126, 135, 135, 126, 132, 129, 126, 129, 129, 129, 135, 129, 129, 126, 132, 132, 129, 129, 129, 135, 129, 129, 132, 129, 132, 129, 129, 129, 126, 126, 129, 132, 123, 132, 132, 126, 129, 126, 129, 126, 132, 129, 129, 132, 132, 126, 126, 129, 135, 129, 132, 129, 132, 126, 129, 132, 126, 135, 135, 126, 126, 132, 132, 129, 129, 129, 129, 126, 132, 129, 129, 129, 126, 126, 129, 132, 132, 132, 135, 129, 126, 129, 129, 132, 126, 129, 129, 126, 126, 129, 135, 126, 129, 126, 129, 132, 126, 132, 126, 129]",scaling_results/T1/circuit_N13_pre.png,scaling_results/T1/circuit_N13_best_ibm_boston.png
ibm_boston,15,2,1,100,3,True,1,18,140,25.06,145.4,"[143, 140, 146, 143, 149, 150, 146, 143, 143, 144, 141, 141, 146, 146, 150, 143, 146, 146, 143, 143, 146, 146, 147, 149, 150, 144, 149, 146, 146, 144, 141, 141, 152, 147, 147, 143, 146, 147, 147, 149, 143, 143, 144, 150, 146, 149, 140, 141, 144, 149, 146, 144, 146, 150, 143, 147, 144, 147, 144, 152, 140, 144, 147, 143, 143, 148, 146, 146, 144, 143, 141, 149, 141, 140, 146, 152, 144, 146, 146, 140, 146, 141, 141, 149, 140, 143, 140, 150, 153, 149, 152, 147, 143, 149, 146, 143, 150, 152, 143, 143]",scaling_results/T1/circuit_N15_pre.png,scaling_results/T1/circuit_N15_best_ibm_boston.png
ibm_boston,17,2,1,100,3,True,47,18,160,22.8,166.39,"[167, 166, 170, 166, 163, 163, 170, 164, 164, 166, 166, 169, 165, 178, 166, 169, 176, 166, 172, 164, 166, 163, 172, 167, 164, 167, 170, 178, 164, 167, 164, 162, 163, 166, 175, 163, 167, 167, 163, 163, 164, 161, 167, 166, 169, 167, 164, 160, 164, 166, 162, 164, 167, 166, 167, 165, 173, 164, 161, 167, 166, 167, 164, 166, 167, 160, 166, 163, 164, 169, 173, 172, 163, 169, 169, 163, 164, 166, 167, 167, 164, 166, 178, 163, 175, 166, 166, 170, 165, 163, 164, 164, 164, 166, 166, 163, 166, 167, 169, 164]",scaling_results/T1/circuit_N17_pre.png,scaling_results/T1/circuit_N17_best_ibm_boston.png
ibm_boston,19,2,1,100,3,True,0,22,188,22.37,190.03,"[188, 191, 192, 191, 199, 195, 191, 191, 189, 192, 190, 189, 187, 191, 195, 186, 186, 188, 189, 191, 189, 186, 192, 187, 187, 190, 189, 190, 188, 187, 191, 192, 192, 189, 186, 192, 189, 191, 189, 188, 188, 186, 189, 189, 190, 195, 186, 189, 188, 191, 196, 194, 188, 192, 192, 193, 187, 187, 188, 187, 192, 190, 196, 187, 198, 191, 191, 189, 191, 192, 187, 187, 190, 188, 192, 187, 196, 188, 186, 191, 192, 194, 189, 188, 190, 194, 189, 194, 194, 189, 189, 189, 188, 189, 189, 189, 189, 188, 192, 189]",scaling_results/T1/circuit_N19_pre.png,scaling_results/T1/circuit_N19_best_ibm_boston.png
ibm_boston,21,2,1,100,3,True,0,22,212,23.57,213.11,"[212, 216, 209, 214, 212, 222, 218, 212, 215, 210, 209, 218, 211, 209, 212, 212, 215, 213, 221, 212, 214, 210, 212, 210, 211, 209, 209, 216, 211, 219, 218, 213, 213, 210, 219, 209, 212, 209, 210, 215, 213, 212, 211, 227, 213, 215, 210, 217, 204, 215, 212, 224, 208, 218, 217, 218, 209, 210, 216, 209, 213, 210, 212, 218, 213, 205, 212, 224, 212, 216, 210, 219, 213, 213, 207, 221, 209, 212, 218, 210, 213, 208, 212, 210, 214, 212, 212, 210, 212, 215, 209, 212, 210, 209, 212, 213, 217, 219, 216, 210]",scaling_results/T1/circuit_N21_pre.png,scaling_results/T1/circuit_N21_best_ibm_boston.png
