t,n,k,no_reset,num_qubits,data_qubits,ancilla_qubits
1,3,2,True,7,6,1
1,5,2,True,12,10,2
1,7,2,True,17,14,3
1,9,2,True,22,18,4
1,11,2,True,27,22,5
1,13,2,True,32,26,6
1,15,2,True,37,30,7
1,17,2,True,42,34,8
1,19,2,True,47,38,9
1,21,2,True,52,42,10
1,23,2,True,57,46,11
2,3,2,True,8,6,2
2,5,2,True,14,10,4
2,7,2,True,20,14,6
2,9,2,True,26,18,8
2,11,2,True,32,22,10
2,13,2,True,38,26,12
2,15,2,True,44,30,14
2,17,2,True,50,34,16
2,19,2,True,56,38,18
2,21,2,True,62,42,20
2,23,2,True,68,46,22
3,3,2,True,9,6,3
3,5,2,True,16,10,6
3,7,2,True,23,14,9
3,9,2,True,30,18,12
3,11,2,True,37,22,15
3,13,2,True,44,26,18
3,15,2,True,51,30,21
3,17,2,True,58,34,24
3,19,2,True,65,38,27
3,21,2,True,72,42,30
3,23,2,True,79,46,33
